,DeutscheMark (Euro)/Dollar,UK pound/Dollar,Swiss Franc/Dollar,Japanese Yen/Dollar
120-1a,0.608637252,0.527177864,0.59926095,0.415430747
121-1a,0.324940407,0.411114111,0.216267976,0.409276688
122-1a,0.136454514,0.091564095,0.158702587,0.250190724
123-1a,0.313839741,0.18613427,0.124994232,0.046962832
124-1a,0.163556432,0.199369136,0.186373778,0.252137011
125-1a,0.44069335,0.712057212,0.484887714,0.524895874
126-1a,0.365401242,0.333184704,0.293790662,0.053633091
127-1a,0.884076047,0.95223553,0.928328546,0.024154023
128-1a,0.284729082,0.548466632,0.265126775,0.947015827
129-1a,0.325076452,0.357006031,0.391346736,0.28379297
130-1a,0.454552861,0.946496309,0.492117211,0.514611647
131-1a,0.841170345,0.890276156,0.818078689,0.849286698
132-1a,0.132830423,0.966496425,0.170254321,0.086070305
133-1a,0.100617794,0.037946668,0.029349923,0.14980736
134-1a,0.389490011,0.277125319,0.3487981,0.308745249
135-1a,0.572057545,0.473497028,0.6435611,0.223999846
136-1a,0.096264864,0.818176323,0.085743005,0.134621499
137-1a,0.242827241,0.845574182,0.165342415,0.149192266
138-1a,0.519362903,0.668112267,0.420115016,0.586723318
139-1a,0.596737119,0.502879355,0.639788485,0.826307747
140-1a,0.788400062,0.488375907,0.740616831,0.608363146
141-1a,0.898900654,0.917569293,0.813140061,0.952132864
142-1a,0.007898298,0.454195158,0.007912095,0.016597518
143-1a,0.510879654,0.102485993,0.273389752,0.532467847
144-1a,0.463045295,0.514990086,0.673364441,0.403949467
145-1a,0.081902867,0.488753584,0.053198061,0.071806456
146-1a,0.323351303,0.873126765,0.386878682,0.490715036
147-1a,0.490101009,0.9338248,0.61629864,0.639846412
148-1a,0.717024163,0.056581789,0.920086962,0.901880394
149-1a,0.175731082,0.590297724,0.156718934,0.150939308
150-1a,0.215290289,0.863510579,0.235229631,0.32630576
151-1a,0.611089964,0.43910251,0.49308369,0.617195738
152-1a,0.186880372,0.063205544,0.17963057,0.291278572
153-1a,0.893857558,0.623115679,0.945167641,0.832519111
154-1a,0.345155092,0.52327662,0.321941212,0.343485726
155-1a,0.215422913,0.039739858,0.204579168,0.319765875
156-1a,0.489898437,0.803460648,0.539385889,0.544679646
157-1a,0.715081602,0.713378781,0.778219387,0.642121365
158-1a,0.163556436,0.146821881,0.094710982,0.110878372
159-1a,0.272798853,0.38182012,0.263822122,0.595150123
160-1a,0.285448476,0.817102181,0.321591454,0.317315228
161-1a,0.552837764,0.836881198,0.7036529,0.664507085
162-1a,0.469078911,0.784714514,0.33954408,0.674006143
163-1a,0.908607675,0.484808255,0.878401632,0.965033725
164-1a,0.096065324,0.508904586,0.092928962,0.167982384
165-1a,0.812742671,0.631480967,0.879912925,0.93516086
166-1a,0.036449452,0.5134356,0.07500853,0.022088487
167-1a,0.478385501,0.100404168,0.429789268,0.545652043
168-1a,0.494135272,0.142813778,0.62204214,0.727175088
169-1a,0.704343742,0.428235386,0.726972304,0.79919724
170-1a,0.936033833,0.832987246,0.967621857,0.641396734
171-1a,0.9537421,0.812446748,0.953187652,0.651559114
172-1a,0.319841571,0.878612414,0.285477776,0.448097599
173-1a,0.480299829,0.393548195,0.258654777,0.067023534
174-1a,0.95803302,0.952430435,0.95023884,0.966453672
175-1a,0.027468005,0.041993042,0.022594917,0.108821014
176-1a,0.17421155,0.557078761,0.127525404,0.406510142
177-1a,0.590361032,0.89596628,0.669137179,0.861508771
178-1a,0.026252085,0.202843432,0.024232948,0.285297701
179-1a,0.010702273,0.646575902,0.045526332,0.018476027
180-1a,0.462626076,0.479117889,0.401563886,0.069713044
181-1a,0.993410465,0.993848593,0.979168405,0.929461988
182-1a,0.904282328,0.572269318,0.945735418,0.822895531
183-1a,0.353879496,0.624082239,0.390046815,0.458473343
184-1a,0.487862397,0.943621055,0.487161003,0.584112266
185-1a,0.543665259,0.335902718,0.646250427,0.405501209
186-1a,0.043151391,0.618494364,0.058139472,0.142438959
187-1a,0.728048005,0.067412995,0.755730967,0.831803654
188-1a,0.397651995,0.54524056,0.297758934,0.387325291
189-1a,0.147274705,0.909522081,0.184132898,0.473240814
190-1a,0.316493091,0.205601028,0.365246418,0.686522156
191-1a,0.211467738,0.769527868,0.382727979,0.374975821
192-1a,0.808363857,0.682629243,0.775269819,0.565833669
193-1a,0.364325383,0.886830266,0.438830663,0.515434519
194-1a,0.729098332,0.69665079,0.59373328,0.590456671
195-1a,0.098808011,0.074956116,0.176603908,0.449661575
196-1a,0.117362444,0.279385342,0.334069,0.213142771
197-1a,0.592383272,0.503947209,0.514594114,0.652429368
198-1a,0.603529278,0.532828736,0.706605722,0.602546265
199-1a,0.327961072,0.487990389,0.292146223,0.158216998
200-1a,0.895549129,0.800834304,0.880339167,0.904572659
201-1a,0.477440545,0.426102969,0.55092072,0.736727804
202-1a,0.474973446,0.567711,0.558960997,0.833159364
203-1a,0.919440432,0.862000989,0.971230998,0.99663873
204-1a,0.977502354,0.927880413,0.939284748,0.986151705
205-1a,0.811570939,0.851376753,0.910955685,0.241226899
206-1a,0.189202549,0.071527082,0.158959474,0.231859834
207-1a,0.462246224,0.871205396,0.531225468,0.677384122
208-1a,0.924272591,0.856966071,0.948558759,0.82328552
209-1a,0.826496507,0.312524358,0.837317284,0.960803866
210-1a,0.565826611,0.240384102,0.653868007,0.79957506
211-1a,0.298896041,0.281484511,0.377594411,0.387545594
212-1a,0.72066096,0.020472948,0.835807941,0.733659221
213-1a,0.340070921,0.508249065,0.285771387,0.086477984
214-1a,0.616147667,0.716988197,0.501707146,0.360343418
215-1a,0.098148601,0.082454987,0.049711936,0.360694994
216-1a,0.061069391,0.936146436,0.052439423,0.021675559
217-1a,0.098522695,0.606227202,0.2215957,0.478071558
218-1a,0.321126076,0.785044662,0.225045448,0.785817591
219-1a,0.79316486,0.144286467,0.834349297,0.894316542
220-1a,0.549178735,0.697406456,0.511173733,0.469518739
221-1a,0.291397587,0.799697941,0.385781202,0.359263038
222-1a,0.52130748,0.860535313,0.400653708,0.540505624
223-1a,0.841510712,0.083731303,0.932741945,0.926277013
224-1a,0.393546637,0.833730383,0.609456729,0.510605523
225-1a,0.016194931,0.088176791,0.008035051,0.038529493
226-1a,0.588849558,0.148391594,0.685270207,0.812244118
227-1a,0.089079548,0.309096787,0.081347655,0.133597258
228-1a,0.241869429,0.167574045,0.340219997,0.638273847
229-1a,0.771819514,0.89089128,0.704824726,0.365152086
230-1a,0.546435274,0.712618281,0.499458823,0.582912303
231-1a,0.898337429,0.552316415,0.932616971,0.723202744
232-1a,0.704655883,0.608331681,0.768265947,0.232294916
233-1a,0.865182297,0.892646548,0.788730836,0.600853767
234-1a,0.798599765,0.334600146,0.803223894,0.592106003
235-1a,0.23892193,0.348644945,0.268236407,0.511839035
236-1a,0.707525287,0.665534914,0.708736619,0.474363939
237-1a,0.427812035,0.256143235,0.800543475,0.686685921
238-1a,0.680633332,0.037867863,0.65298297,0.622201475
239-1a,0.55433315,0.938971895,0.584095623,0.816110233
240-1a,0.368011698,0.553658281,0.450824259,0.354430157
241-1a,0.252061023,0.462111404,0.079717543,0.173695248
242-1a,0.399262615,0.031808708,0.32942284,0.59369529
243-1a,0.007955183,0.549867718,0.02296457,0.214467221
244-1a,0.213784699,0.038613481,0.058624494,0.455557696
245-1a,0.029751573,0.076377069,0.087777398,0.001714703
246-1a,0.618729878,0.458508801,0.540543895,0.769569253
247-1a,0.036893874,0.045639304,0.066475973,0.041752799
248-1a,0.27746782,0.171771302,0.434964439,0.499824448
249-1a,0.900300484,0.967938643,0.959367262,0.880296843
250-1a,0.15209034,0.406780849,0.106776679,0.270398033
251-1a,0.77941609,0.723513926,0.801150837,0.26065899
252-1a,0.245705821,0.399713012,0.155457237,0.43685561
253-1a,0.432700222,0.355167813,0.310036372,0.508341332
254-1a,0.026437922,0.083234302,0.051116765,0.103812543
255-1a,0.07173161,0.320309964,0.129328954,0.098038681
256-1a,0.004749483,0.0570691,0.008427462,0.006382653
257-1a,0.466960291,0.431454031,0.545366855,0.73914563
258-1a,0.792922533,0.074559473,0.801242049,0.533945506
259-1a,0.257502775,0.317639038,0.214974611,0.213645344
