,DeutscheMark (Euro)/Dollar,UK pound/Dollar,Swiss Franc/Dollar,Japanese Yen/Dollar
1164-1a,0.324024035,0.310990251,0.658656418,0.137081021
1165-1a,0.898457465,0.922049539,0.794796812,0.2303689
1166-1a,0.538886904,0.994593896,0.885612321,0.168884865
1167-1a,0.979378267,0.445361804,0.866076432,0.864778735
1168-1a,0.690381031,0.348436815,0.553214575,0.014579917
1169-1a,0.013631456,0.067055776,0.013740989,0.029851745
1170-1a,0.462832818,0.155181793,0.193407754,0.763838749
1171-1a,0.031456058,0.084833775,0.035137699,0.39684223
1172-1a,0.761051669,0.536032785,0.904036547,0.912615793
1173-1a,0.957630836,0.968910824,0.958654652,0.412778494
1174-1a,0.651205987,0.778702792,0.790123693,0.53475279
1175-1a,0.506974449,0.970436389,0.502692545,0.177065076
1176-1a,0.031350415,0.015476877,0.016887958,0.730056187
1177-1a,0.915492927,0.81910273,0.894870924,0.263261792
1178-1a,0.3251886,0.49808749,0.307090348,0.56208464
1179-1a,0.324620353,0.27090311,0.218180145,0.910041602
1180-1a,0.786362349,0.626331507,0.646710378,0.777786985
1181-1a,0.167843653,0.334976106,0.493963564,0.036939049
1182-1a,0.196702723,0.281054229,0.27640281,0.433354139
1183-1a,0.187757198,0.20076265,0.205460012,0.227792312
1184-1a,0.258401832,0.279612945,0.396928034,0.012521974
1185-1a,0.863755442,0.003728036,0.902192123,0.037390294
1186-1a,0.039065293,0.39563574,0.056803902,0.053739751
1187-1a,0.500855472,0.484840753,0.700746163,0.115128093
1188-1a,0.085959579,0.228853095,0.129877006,0.334678026
1189-1a,0.82828773,0.740116949,0.920288119,0.36076908
1190-1a,0.562764775,0.89243225,0.739344425,0.073177215
1191-1a,0.105523232,0.177001276,0.07607375,0.144303523
1192-1a,0.510551405,0.607187323,0.310135408,0.073349643
1193-1a,0.087001152,0.268001539,0.130068099,0.155609604
1194-1a,0.673640551,0.773346101,0.794797797,0.912926932
1195-1a,0.955001821,0.862723647,0.94275955,0.688910127
1196-1a,0.462208054,0.51885036,0.473091323,0.965916683
1197-1a,0.122473565,0.165784328,0.0789928,0.099414367
1198-1a,0.801433633,0.635384754,0.866407628,0.917521702
1199-1a,0.479314044,0.369357802,0.517336293,0.686392241
1200-1a,0.790430414,0.705978965,0.856866547,0.617921487
1201-1a,0.173134055,0.377860567,0.149081314,0.610498616
1202-1a,0.616497964,0.721389777,0.611068119,0.930261265
1203-1a,0.089855955,0.549495632,0.155977242,0.788136228
1204-1a,0.153082548,0.196151371,0.101642173,0.007962681
1205-1a,0.158964459,0.092026814,0.103177054,0.114880916
1206-1a,0.792851012,0.74918872,0.630929648,0.897677637
1207-1a,0.340034444,0.503272979,0.378651076,0.828479595
1208-1a,0.551256711,0.507983528,0.476640734,0.829652636
1209-1a,0.347998953,0.521269131,0.45491235,0.428065911
1210-1a,0.190590668,0.598907232,0.571628345,0.404295261
1211-1a,0.162250307,0.602481336,0.302744949,0.256555485
1212-1a,0.741952894,0.654188108,0.743936333,0.754373674
1213-1a,0.265839728,0.211867651,0.284437796,0.423027953
1214-1a,0.60946117,0.280452021,0.462487216,0.192376382
1215-1a,0.597937772,0.766853146,0.493886978,0.611286951
1216-1a,0.654686671,0.338645939,0.566564798,0.028732498
1217-1a,0.890687361,0.631304252,0.938032403,0.447620356
1218-1a,0.504961419,0.44012286,0.664836269,0.965703502
1219-1a,0.160132316,0.171136007,0.320278501,0.213662193
1220-1a,0.748301078,0.778660711,0.88482057,0.945928902
1221-1a,0.991089327,0.992406107,0.94037789,0.995319119
1222-1a,0.189776049,0.381451885,0.270628057,0.261091176
1223-1a,0.957118802,0.977017415,0.94232506,0.949754961
1224-1a,0.133688984,0.168415596,0.170084588,0.233884739
1225-1a,0.25492639,0.561265188,0.293189628,0.550490918
1226-1a,0.156241369,0.137367249,0.207916149,0.105270923
1227-1a,0.036071719,0.102947742,0.020964861,0.063479474
1228-1a,0.48797372,0.817940696,0.806174641,0.886212801
1229-1a,0.813566582,0.746168943,0.758712811,0.618133848
1230-1a,0.321095229,0.16194124,0.220262397,0.178995781
1231-1a,0.645279342,0.616848554,0.733177209,0.651662154
1232-1a,0.767662128,0.747825148,0.848385233,0.820561067
1233-1a,0.565595742,0.781506984,0.444136158,0.417123906
1234-1a,0.430319664,0.354855888,0.393788008,0.639771523
1235-1a,0.20924828,0.602544946,0.314352857,0.763420429
1236-1a,0.997910168,0.993240901,0.997287894,0.837084842
1237-1a,0.969749589,0.839806197,0.909361663,0.698777657
1238-1a,0.919047703,0.938268418,0.721524385,0.786803359
1239-1a,0.211291583,0.120758401,0.265038223,0.54735302
1240-1a,0.254273552,0.340864049,0.353881938,0.64726442
1241-1a,0.004691305,0.007423047,0.005141775,0.049246229
1242-1a,0.479091801,0.344404883,0.381589982,0.814819838
1243-1a,0.292692429,0.160060225,0.119689328,0.08011
1244-1a,0.66252902,0.327305355,0.554828172,0.049457077
1245-1a,0.868313815,0.860572245,0.864333964,0.956512058
1246-1a,0.988470211,0.981868285,0.946563136,0.921228235
1247-1a,0.746620463,0.724201329,0.667147186,0.60668703
1248-1a,0.334271377,0.468690927,0.288206486,0.663225415
1249-1a,0.255233875,0.161033639,0.23793848,0.015564436
1250-1a,0.548095417,0.598651893,0.268497104,0.288476326
1251-1a,0.923441793,0.706976015,0.78679995,0.919036618
1252-1a,0.392820164,0.291010721,0.471307147,0.577545378
1253-1a,0.593650101,0.585155762,0.682148507,0.89374992
1254-1a,0.003930121,0.023314233,0.02476371,0.001854695
1255-1a,0.151578645,0.086874227,0.086288962,0.472070766
1256-1a,0.488140736,0.74058591,0.660520417,0.578237861
1257-1a,0.16174616,0.161707172,0.174513052,0.373812119
1258-1a,0.54705023,0.556435527,0.699778483,0.4700921
1259-1a,0.735222084,0.628755224,0.815756375,0.700903888
1260-1a,0.299618543,0.176535134,0.413849556,0.142756244
1261-1a,0.775707159,0.709523869,0.715897452,0.684560413
1262-1a,0.344779918,0.451058246,0.48911648,0.238387367
1263-1a,0.083829384,0.28799997,0.137921037,0.397123447
1264-1a,0.288850507,0.250287847,0.371837814,0.689946007
1265-1a,0.322741945,0.310404345,0.377112009,0.159360162
1266-1a,0.272675522,0.180821996,0.214657773,0.157329325
1267-1a,0.184658574,0.167670779,0.082104361,0.069853211
1268-1a,0.755424829,0.839479683,0.889546158,0.663993827
1269-1a,0.570459389,0.690540616,0.555749216,0.145161117
1270-1a,0.137927426,0.16354199,0.15192738,0.572274975
1271-1a,0.762562756,0.722686916,0.862730936,0.747139731
1272-1a,0.880016253,0.816365547,0.860045674,0.943650116
1273-1a,0.633955658,0.57590719,0.691119779,0.47072818
1274-1a,0.86105008,0.908285773,0.921332009,0.801899611
1275-1a,0.928829876,0.922050762,0.848490978,0.848874758
1276-1a,0.637294853,0.552958766,0.614483054,0.579954317
1277-1a,0.407562382,0.199183607,0.264142389,0.430609553
1278-1a,0.884658514,0.907865653,0.965239657,0.853099427
1279-1a,0.948395092,0.949301263,0.904384134,0.942221911
1280-1a,0.557861871,0.659560568,0.723560561,0.226163136
1281-1a,0.468809558,0.595657561,0.79191779,0.159199002
1282-1a,0.65039134,0.764543473,0.861091355,0.847715385
1283-1a,0.886699201,0.89603418,0.843562059,0.95245593
1284-1a,0.284814347,0.397840218,0.077040109,0.787285429
1285-1a,0.857875665,0.792548768,0.979216253,0.830629502
1286-1a,0.347770248,0.446674688,0.388312748,0.357989587
1287-1a,0.748936085,0.713329365,0.787141908,0.360949152
1288-1a,0.980793007,0.975505164,0.966358588,0.88240667
1289-1a,0.878933044,0.933093732,0.615802788,0.942224799
1290-1a,0.260486498,0.241782096,0.234599818,0.025073769
1291-1a,0.425240445,0.32952023,0.477109423,0.219123124
1292-1a,0.831095639,0.812597533,0.787391273,0.587569937
1293-1a,0.984158993,0.991030019,0.967723005,0.958202304
1294-1a,0.963488695,0.987992204,0.943875971,0.609920488
1295-1a,0.91844032,0.877730232,0.825562526,0.415730009
1296-1a,0.405601069,0.270073457,0.422623845,0.625022004
1297-1a,0.181951566,0.15146014,0.157025491,0.071959721
1298-1a,0.853261404,0.78839774,0.670652584,0.700772154
1299-1a,0.997139375,0.996574371,0.986142879,0.960935215
1300-1a,0.655728135,0.256525216,0.399554701,0.457147116
1301-1a,0.940549707,0.90987544,0.975180832,0.756987061
1302-1a,0.022605672,0.059211369,0.040251627,0.62170198
1303-1a,0.138361549,0.075126043,0.044983951,0.019999399
1304-1a,0.728882704,0.751084323,0.559223678,0.319175038
1305-1a,0.248401934,0.099620329,0.057401757,0.037309218
1306-1a,0.923201262,0.931868763,0.951513898,0.762805595
1307-1a,0.676627184,0.524250988,0.844353266,0.721093842
1308-1a,0.053442025,0.060865779,0.038007995,0.487669674
1309-1a,0.834817404,0.897414475,0.9263287,0.776077678
1310-1a,0.255932003,0.167747194,0.124587389,0.086748459
1311-1a,0.834977491,0.816628796,0.860012361,0.48147129
1312-1a,0.117514603,0.096035564,0.198506096,0.017539672
1313-1a,0.413993986,0.558340755,0.518142739,0.699476484
1314-1a,0.524099743,0.64092982,0.646703175,0.927814523
1315-1a,0.989201986,0.983391681,0.990164336,0.955193093
1316-1a,0.972759921,0.978654038,0.846140274,0.748388253
1317-1a,0.949116566,0.942541595,0.550438865,0.886923435
1318-1a,0.104152172,0.147856644,0.119450003,0.046725947
1319-1a,0.673130071,0.84138152,0.738844653,0.553323047
1320-1a,0.51374461,0.701248231,0.688325142,0.540966801
1321-1a,0.565329412,0.511583968,0.711913692,0.595111385
1322-1a,0.61586432,0.44753654,0.442211181,0.131587842
1323-1a,0.009135328,0.014911025,0.017752189,0.163372157
1324-1a,0.462421034,0.703218785,0.557287301,0.971609462
1325-1a,0.755507314,0.640855045,0.794304897,0.387463451
1326-1a,0.950019216,0.957790987,0.935434558,0.835435097
1327-1a,0.162587041,0.115266312,0.234548653,0.162019446
1328-1a,0.181661389,0.136848105,0.167588797,0.432892624
1329-1a,0.791997713,0.637730899,0.719198568,0.609951021
1330-1a,0.488619653,0.584164247,0.488058937,0.426038499
1331-1a,0.332832454,0.352036104,0.315310568,0.784511008
1332-1a,0.250685492,0.20207109,0.086657672,0.750241077
1333-1a,0.154653037,0.284014015,0.222375519,0.090263256
1334-1a,0.204262856,0.2349692,0.349276801,0.092670894
1335-1a,0.707651079,0.597796208,0.80279994,0.634870551
1336-1a,0.991035459,0.988517454,0.987337147,0.834318346
1337-1a,0.450857997,0.410772232,0.34669641,0.653568851
1338-1a,0.102036733,0.084341832,0.122237581,0.076253168
1339-1a,0.710516423,0.713717903,0.80468954,0.716543509
1340-1a,0.29889192,0.322580253,0.433051667,0.508794532
1341-1a,0.320150749,0.654003295,0.419605743,0.723375775
1342-1a,0.228304413,0.097401985,0.18959445,0.163179912
1343-1a,0.889623308,0.921302302,0.918714305,0.741138335
1344-1a,0.692269977,0.856658961,0.674704556,0.380682152
1345-1a,0.913449143,0.869156087,0.925369523,0.733017944
1346-1a,0.658784123,0.5614686,0.734838718,0.882479461
1347-1a,0.435878689,0.403554577,0.468118977,0.337283712
1348-1a,0.622785178,0.713047541,0.737190361,0.735384159
1349-1a,0.640732178,0.692373783,0.72099005,0.428068233
1350-1a,0.890940867,0.901693542,0.894830623,0.935249606
1351-1a,0.429794219,0.521296693,0.240887977,0.945541077
1352-1a,0.657501424,0.831891251,0.669599327,0.299392112
1353-1a,0.872493652,0.868590734,0.885790742,0.546640588
1354-1a,0.604254399,0.706370568,0.66503697,0.426838061
1355-1a,0.520854778,0.629515945,0.636834111,0.215490661
1356-1a,0.549311154,0.799712015,0.618058103,0.433307113
1357-1a,0.917883759,0.876696393,0.950733277,0.549208745
1358-1a,0.049251105,0.042930733,0.038856443,0.137612941
1359-1a,0.526335042,0.468221326,0.300240405,0.013176627
1360-1a,0.753137881,0.69233501,0.827337096,0.826797184
1361-1a,0.093813672,0.083883444,0.163274514,0.299648402
1362-1a,0.813294464,0.897226013,0.901951032,0.363556294
1363-1a,0.350991704,0.30813198,0.435277902,0.377095678
1364-1a,0.711679422,0.674285228,0.561674937,0.253989024
1365-1a,0.877095083,0.794587937,0.602424184,0.370827382
1366-1a,0.880515866,0.889776482,0.839440434,0.869363005
1367-1a,0.754420703,0.779604161,0.916193103,0.760942467
1368-1a,0.342711614,0.356204303,0.483479592,0.822583694
1369-1a,0.352930261,0.143632757,0.332074574,0.058252893
1370-1a,0.087809168,0.088298665,0.080932214,0.630714645
1371-1a,0.804482222,0.850315181,0.91404775,0.627535113
1372-1a,0.375565614,0.49985042,0.346889957,0.363552519
1373-1a,0.941363291,0.939216809,0.945991368,0.601331788
1374-1a,0.003781798,0.002359739,0.003322779,0.005490657
1375-1a,0.400565952,0.443134343,0.475888324,0.750695021
1376-1a,0.806148935,0.758245274,0.853495055,0.68068485
1377-1a,0.295099832,0.332033249,0.300950597,0.335521317
1378-1a,0.124086434,0.121092882,0.100030596,0.766098758
1379-1a,0.039386476,0.034387679,0.020351793,0.075714278
1380-1a,0.801681612,0.80467608,0.847233687,0.928908019
1381-1a,0.38918726,0.455981574,0.515491453,0.213964553
1382-1a,0.097276469,0.228580779,0.168187915,0.737421543
1383-1a,0.934880403,0.93270054,0.937397552,0.9363594
1384-1a,0.088341672,0.119873174,0.112527525,0.11241044
1385-1a,0.694790331,0.670493619,0.787444603,0.56314334
1386-1a,0.678413847,0.649684157,0.608619127,0.554281566
1387-1a,0.2359524,0.246524946,0.270405041,0.224814614
1388-1a,0.85935914,0.838011975,0.821061044,0.559441318
1389-1a,0.094626052,0.084930215,0.049189158,0.174847894
1390-1a,0.063604166,0.084916059,0.109387872,0.377988119
1391-1a,0.2474167,0.365692975,0.338755702,0.048802326
1392-1a,0.589379378,0.596507758,0.725421447,0.757237857
1393-1a,0.675986801,0.74433216,0.615987511,0.577967364
1394-1a,0.822818764,0.802133263,0.286077148,0.757287324
1395-1a,0.378015708,0.392058989,0.855060903,0.373974741
1396-1a,0.715584066,0.682638347,0.677929144,0.516698735
1397-1a,0.662340954,0.747838345,0.764481923,0.594846823
1398-1a,0.849429999,0.897165345,0.901610727,0.797691304
1399-1a,0.882840261,0.889739245,0.774385064,0.655963809
1400-1a,0.99905239,0.988055969,0.771238299,0.907646246
1401-1a,0.09598178,0.12874364,0.260814289,0.082288167
1402-1a,0.002435247,0.00267075,0.008322149,0.090517056
1403-1a,0.297498609,0.46877257,0.403501174,0.551926511
1404-1a,0.844547135,0.851431571,0.920213814,0.737705256
1405-1a,0.484761676,0.378207717,0.362775442,0.407351154
1406-1a,0.604030539,0.526508895,0.478391562,0.575631544
1407-1a,0.265707982,0.27766753,0.351757018,0.333011277
1408-1a,0.549288662,0.614596236,0.659171454,0.762880051
1409-1a,0.540178172,0.641282799,0.463814621,0.258557899
1410-1a,0.296763942,0.166310712,0.489028197,0.05410756
1411-1a,0.53261764,0.460871509,0.510377223,0.298173028
1412-1a,0.536048434,0.514811373,0.665538261,0.663632875
1413-1a,0.083763547,0.051839657,0.049981744,0.432551613
1414-1a,0.089642618,0.136662177,0.035703225,0.05448021
1415-1a,0.487958062,0.59369221,0.291484442,0.598206198
1416-1a,0.49095423,0.573701953,0.600984299,0.585197386
1417-1a,0.186786639,0.327869651,0.190223706,0.045093647
1418-1a,0.676959866,0.596761186,0.699007161,0.578738444
1419-1a,0.189671057,0.297639289,0.07062185,0.314444883
1420-1a,0.41002923,0.356361749,0.34787824,0.601124812
1421-1a,0.800627966,0.835223446,0.850767146,0.806444753
1422-1a,0.653481196,0.528351882,0.676222984,0.68218062
1423-1a,0.426451255,0.497704764,0.363990865,0.248420781
1424-1a,0.159775742,0.135137772,0.132487238,0.018845141
1425-1a,0.809620262,0.829400518,0.784597737,0.797650214
1426-1a,0.477577012,0.434077185,0.469928758,0.455417671
1427-1a,0.641361352,0.716790361,0.629876581,0.870932131
1428-1a,0.141042205,0.111613031,0.090990823,0.122164933
1429-1a,0.246933537,0.245698851,0.345446639,0.309516969
1430-1a,0.619515646,0.671931347,0.69404754,0.752426857
1431-1a,0.465831331,0.39046263,0.594193688,0.162360091
1432-1a,0.422123044,0.413809389,0.394302905,0.006065739
1433-1a,0.909291737,0.930957212,0.928623377,0.23722522
1434-1a,0.498387225,0.536854485,0.662368469,0.081875455
1435-1a,0.924141026,0.981866801,0.910815212,0.886589338
1436-1a,0.505249244,0.164143891,0.226140514,0.339959845
1437-1a,0.415417892,0.692505515,0.683041266,0.758628513
1438-1a,0.341237958,0.251375278,0.364342468,0.186356596
1439-1a,0.947690563,0.948975319,0.916611314,0.621575546
1440-1a,0.345135158,0.329041893,0.35195281,0.621952488
1441-1a,0.381728235,0.353091989,0.289736448,0.189742129
1442-1a,0.109053216,0.091183625,0.136255842,0.582072413
1443-1a,0.689138451,0.809253166,0.773624961,0.936312547
1444-1a,0.662231679,0.750982608,0.509387683,0.872396465
1445-1a,0.886286696,0.859785905,0.893193191,0.697992072
1446-1a,0.215861135,0.196546164,0.304658576,0.288426171
1447-1a,0.460877372,0.364891491,0.395899318,0.546003197
1448-1a,0.9264955,0.948927098,0.97255006,0.922370202
1449-1a,0.011754372,0.008492229,0.006416045,0.018075696
1450-1a,0.132540391,0.112003931,0.132832777,0.685348479
1451-1a,0.490883952,0.607368461,0.577912559,0.363843256
1452-1a,0.018203954,0.028469064,0.015925122,0.057258514
1453-1a,0.236979913,0.189060017,0.356742003,0.218651728
1454-1a,0.599841891,0.677127969,0.684912599,0.840033756
1455-1a,0.422822781,0.460094684,0.608782659,0.513967399
1456-1a,0.747825108,0.570425377,0.492564603,0.398887466
1457-1a,0.51504839,0.626981686,0.678404424,0.714816739
1458-1a,0.221468715,0.329614511,0.438119295,0.208866574
1459-1a,0.489795594,0.480644306,0.571805344,0.725191425
1460-1a,0.292075891,0.3831558,0.288576201,0.196375434
1461-1a,0.37484608,0.481715754,0.285868761,0.515066188
1462-1a,0.082475605,0.138312281,0.130181449,0.412357942
1463-1a,0.059882229,0.148380131,0.056625653,0.750562524
1464-1a,0.795797825,0.66154145,0.764019902,0.469126455
1465-1a,0.395617589,0.677809933,0.508665114,0.359710833
1466-1a,0.060436464,0.34387644,0.089111121,0.336963616
1467-1a,0.691202958,0.592552238,0.581241534,0.013447437
1468-1a,0.992304871,0.98537534,0.983441071,0.998083636
1469-1a,0.37478208,0.488242483,0.189716075,0.182784258
1470-1a,0.809828148,0.531652374,0.829621592,0.394080681
1471-1a,0.169004646,0.260924328,0.2508759,0.610133515
1472-1a,0.458146404,0.563926941,0.442013809,0.227624403
1473-1a,0.22540579,0.227219595,0.197818869,0.297134913
1474-1a,0.114935474,0.095826764,0.1326549,0.2633598
1475-1a,0.042163027,0.037756939,0.023983945,0.196617954
1476-1a,0.66248538,0.701413144,0.632911316,0.595700481
1477-1a,0.563208869,0.477029147,0.609461849,0.671680747
1478-1a,0.637644045,0.691568808,0.491437033,0.858802131
1479-1a,0.622338807,0.43633693,0.756791575,0.47037015
1480-1a,0.688905156,0.222719237,0.635960608,0.246544515
1481-1a,0.164516569,0.224593161,0.208489362,0.192560784
1482-1a,0.361230304,0.433311848,0.334678949,0.555959741
1483-1a,0.36105706,0.274178425,0.507773732,0.404854598
1484-1a,0.107456065,0.31397269,0.116843903,0.445156623
1485-1a,0.02330479,0.022701704,0.038408031,0.145915557
1486-1a,0.029999664,0.019351516,0.025219262,0.121462938
1487-1a,0.837769474,0.846975799,0.828392952,0.856944447
1488-1a,0.081535056,0.141755981,0.147595448,0.056033062
1489-1a,0.820599342,0.819189683,0.762689883,0.159688806
1490-1a,0.494394136,0.775004166,0.720131588,0.345872746
1491-1a,0.392722237,0.437328707,0.567161114,0.114277989
1492-1a,0.921989857,0.675604559,0.858419259,0.348729121
1493-1a,0.870890913,0.915325368,0.802769973,0.499962233
1494-1a,0.018735344,0.010301206,0.005271176,0.046341119
1495-1a,0.303929112,0.429159101,0.405058925,0.850714019
1496-1a,0.378439339,0.631574735,0.598844995,0.624724294
1497-1a,0.999277674,0.999477653,0.999433101,0.979461128
1498-1a,0.939749289,0.947766166,0.931922952,0.919303653
1499-1a,0.39033729,0.321093006,0.367868588,0.647225415
1500-1a,0.89158491,0.87938719,0.807202194,0.40075169
1501-1a,0.977988251,0.974778606,0.988907238,0.989318367
1502-1a,0.26948847,0.218194398,0.18464608,0.161235897
1503-1a,0.062700196,0.026165469,0.023514995,0.002414955
1504-1a,0.339133583,0.284190331,0.47498694,0.138550479
1505-1a,0.58677758,0.475251372,0.587114649,0.317093782
1506-1a,0.852352376,0.900666729,0.882325171,0.725030023
1507-1a,0.24540933,0.276822073,0.198493472,0.319977281
1508-1a,0.860176378,0.800906753,0.845237237,0.938633821
1509-1a,0.216626119,0.274986834,0.299638545,0.749514288
1510-1a,0.524554664,0.354745342,0.662987291,0.449287701
1511-1a,0.808351932,0.842230927,0.656258276,0.475287756
1512-1a,0.485932756,0.377336037,0.522810341,0.562037538
1513-1a,0.203941743,0.253189019,0.298521095,0.737435268
1514-1a,0.207101541,0.275403746,0.27336561,0.430568836
1515-1a,0.238460737,0.204315696,0.216764684,0.281266239
1516-1a,0.399573252,0.366543348,0.320701702,0.554864215
1517-1a,0.091096663,0.129851472,0.09563339,0.337068102
1518-1a,0.899314961,0.900128084,0.909782678,0.939756086
1519-1a,0.906561384,0.903109629,0.94409525,0.855111167
1520-1a,0.822436196,0.816332016,0.852560117,0.433421792
1521-1a,0.865833882,0.868260708,0.914533596,0.64242277
1522-1a,0.492563396,0.433650285,0.648989436,0.554906401
1523-1a,0.954978548,0.941731183,0.969541527,0.597999967
1524-1a,0.440920432,0.478072047,0.493548167,0.598614991
1525-1a,0.591053778,0.600243374,0.540982858,0.78059616
1526-1a,0.760600975,0.755075541,0.810558752,0.623430648
1527-1a,0.447670156,0.39803665,0.389839633,0.688533871
1528-1a,0.682367352,0.749331559,0.80296222,0.829659118
1529-1a,0.166708804,0.100467046,0.169511468,0.170112763
1530-1a,0.209790683,0.252607088,0.144856766,0.333255991
1531-1a,0.588796463,0.729074405,0.673845776,0.679895434
1532-1a,0.62336556,0.606360345,0.588023355,0.644676086
1533-1a,0.905086545,0.908187567,0.923792555,0.960407981
1534-1a,0.801876755,0.850707824,0.848524623,0.878435952
1535-1a,0.59459694,0.736088574,0.674378225,0.644049921
1536-1a,0.351518691,0.482833236,0.183143001,0.349531432
1537-1a,0.33273498,0.31368141,0.251118849,0.563377918
1538-1a,0.742972686,0.741034323,0.752066009,0.908619356
1539-1a,0.512931767,0.622285077,0.274742006,0.965089187
1540-1a,0.425094312,0.690281216,0.487667243,0.203441313
1541-1a,0.054089116,0.028276209,0.066015819,0.132927741
1542-1a,0.67555798,0.70150849,0.669380683,0.252483797
1543-1a,0.927923009,0.936399654,0.934055905,0.933051971
1544-1a,0.504609964,0.347791906,0.553467453,0.55728619
1545-1a,0.418460085,0.34451622,0.499251497,0.353421111
1546-1a,0.318308274,0.470629718,0.395990961,0.410603012
1547-1a,0.153154396,0.1440104,0.156295904,0.479884023
1548-1a,0.819401124,0.763806105,0.87796426,0.762468607
1549-1a,0.033276718,0.050637505,0.033460988,0.09229731
1550-1a,0.674920789,0.68418117,0.736969456,0.252977854
1551-1a,0.484283874,0.582373853,0.516859869,0.488135687
1552-1a,0.773335701,0.835180868,0.820715842,0.986804601
1553-1a,0.259258664,0.359230433,0.240602623,0.135112927
1554-1a,0.043504798,0.076964345,0.0838719,0.231048098
1555-1a,0.45768179,0.41024539,0.685456045,0.258487579
1556-1a,0.472910547,0.4345273,0.408415177,0.579899572
1557-1a,0.67223914,0.556275722,0.730766213,0.331086808
1558-1a,0.147885821,0.051337395,0.154109615,0.121968196
1559-1a,0.964590927,0.622897093,0.972514861,0.888389715
1560-1a,0.939107733,0.679615891,0.913081346,0.667521039
1561-1a,0.824743822,0.365021372,0.522810906,0.486638816
1562-1a,0.410460585,0.803802163,0.790831091,0.641527212
1563-1a,0.752772582,0.804694937,0.849831792,0.828198775
1564-1a,0.551215745,0.518554274,0.537139541,0.484182245
1565-1a,0.339689176,0.319657781,0.25408446,0.691004581
1566-1a,0.663224595,0.597647006,0.79150386,0.502456597
1567-1a,0.286015268,0.097011751,0.347278293,0.450234081
1568-1a,0.434405659,0.400693775,0.520499809,0.863837582
1569-1a,0.116868509,0.148658149,0.10271482,0.233831005
1570-1a,0.585957089,0.336464455,0.329318737,0.019818765
1571-1a,0.589967553,0.590449328,0.201892371,0.646471555
1572-1a,0.668988218,0.690623796,0.667284987,0.657736732
1573-1a,0.175143605,0.331975573,0.159982866,0.325391648
1574-1a,0.170911073,0.139768882,0.115429057,0.173925946
1575-1a,0.745580665,0.815176069,0.864096695,0.161648354
1576-1a,0.147095233,0.20497866,0.237056636,0.884365834
1577-1a,0.184994827,0.108609228,0.238085,0.116471983
1578-1a,0.864609963,0.671703695,0.93904463,0.781218967
1579-1a,0.718659755,0.561746786,0.889123091,0.832666079
1580-1a,0.304415854,0.389446845,0.515751946,0.325075076
1581-1a,0.059707863,0.029902476,0.022319115,0.003692595
1582-1a,0.074688593,0.101883783,0.027158208,0.106603574
1583-1a,0.512978661,0.587778645,0.175245587,0.702420581
1584-1a,0.533045578,0.559850471,0.919603052,0.368931115
1585-1a,0.05521777,0.075090884,0.032557535,0.083582429
1586-1a,0.285509495,0.32912496,0.323547522,0.625095034
1587-1a,0.873882548,0.833021999,0.839824835,0.765148807
1588-1a,0.929231731,0.943533368,0.878543182,0.842423595
1589-1a,0.657753873,0.589453528,0.683114722,0.310387871
1590-1a,0.237456165,0.139602286,0.262681374,0.204497355
1591-1a,0.992135385,0.995154792,0.775133345,0.894937937
1592-1a,0.137079721,0.139890083,0.118008736,0.133935921
1593-1a,0.0390249,0.023358144,0.047296071,0.018068746
1594-1a,0.373865235,0.485167322,0.341150209,0.122110476
1595-1a,0.783802942,0.854830953,0.881607513,0.799358969
1596-1a,0.178636994,0.481265374,0.664899834,0.515592421
1597-1a,0.416267213,0.315680523,0.296459041,0.516880469
1598-1a,0.14079047,0.188536409,0.517241168,0.14465846
1599-1a,0.397747632,0.486189041,0.088352371,0.703611145
1600-1a,0.62170281,0.523712963,0.679952461,0.676265129
1601-1a,0.616333983,0.539161564,0.359551096,0.547007094
1602-1a,0.052207771,0.068631441,0.028556062,0.058566801
1603-1a,0.531337447,0.407094688,0.3634859,0.624028937
1604-1a,0.184424444,0.24134526,0.104716131,0.593582218
1605-1a,0.237556589,0.223911646,0.155981331,0.33585737
1606-1a,0.905180999,0.819391714,0.857021233,0.87538568
1607-1a,0.172555987,0.193031062,0.411749832,0.245846849
1608-1a,0.757067458,0.727090637,0.706546111,0.685095212
1609-1a,0.306792392,0.425088434,0.417111422,0.587253982
1610-1a,0.362540771,0.399734289,0.471367223,0.500250682
1611-1a,0.052045686,0.048270859,0.063447298,0.085270698
1612-1a,0.121460647,0.10397907,0.070111271,0.047753639
1613-1a,0.293648826,0.388892056,0.280276751,0.721781994
1614-1a,0.037352321,0.13298586,0.112410228,0.357830227
1615-1a,0.74045032,0.593372087,0.736501588,0.694233632
1616-1a,0.410691491,0.416773649,0.251832654,0.247946659
1617-1a,0.105948953,0.079039586,0.066750112,0.111403107
1618-1a,0.709429612,0.866237932,0.599143485,0.517147249
1619-1a,0.305756006,0.410156453,0.377096897,0.21729862
1620-1a,0.01640584,0.027374146,0.075365524,0.334584814
1621-1a,0.383754551,0.566933341,0.500311975,0.820088213
1622-1a,0.988371589,0.992598911,0.992418976,0.946012502
1623-1a,0.06385938,0.047985561,0.116075456,0.352777163
1624-1a,0.030888314,0.217383672,0.031469327,0.2040868
1625-1a,0.770323312,0.778078382,0.735605458,0.697405421
1626-1a,0.402220592,0.474982643,0.417769721,0.443325348
1627-1a,0.245554569,0.044939517,0.128355465,0.610146551
